material,model,ds,yhat,lo,hi,yhat_spend
HOSE Pipe & Accessories,Naive,2024-12-01,1.36998058,,,1369980.58
HOSE Pipe & Accessories,Naive,2025-01-01,1.36998058,,,1369980.58
HOSE Pipe & Accessories,Naive,2025-02-01,1.36998058,,,1369980.58
HOSE Pipe & Accessories,CrostonSBA,2024-12-01,0.8004109688240714,,,800410.9688240713
HOSE Pipe & Accessories,CrostonSBA,2025-01-01,0.8004109688240714,,,800410.9688240713
HOSE Pipe & Accessories,CrostonSBA,2025-02-01,0.8004109688240714,,,800410.9688240713
HOSE Pipe & Accessories,ETS,2024-12-01,0.6359530096368309,0.0,1.890113125215058,635953.0096368309
HOSE Pipe & Accessories,ETS,2025-01-01,0.6359530096368309,0.0,1.8901131314858586,635953.0096368309
HOSE Pipe & Accessories,ETS,2025-02-01,0.6359530096368309,0.0,1.8901131377566591,635953.0096368309
HOSE Pipe & Accessories,ARIMA,2024-12-01,1.0465336004215802,0.0,2.1639052038716375,1046533.6004215801
HOSE Pipe & Accessories,ARIMA,2025-01-01,0.7062711921435707,0.0,1.834920340178528,706271.1921435707
HOSE Pipe & Accessories,ARIMA,2025-02-01,0.3538725147938745,0.0,1.4984100747475013,353872.5147938745
HOSE Pipe & Accessories,AutoTS,2024-12-01,0.6959729480313297,0.4820967939343061,1.0617771735855157,695972.9480313297
HOSE Pipe & Accessories,AutoTS,2025-01-01,0.5152215381316135,0.34064168401660916,0.7257474779092579,515221.5381316135
HOSE Pipe & Accessories,AutoTS,2025-02-01,0.7511130063548555,0.5173054972959715,0.9359934928940089,751113.0063548555
HOSE Pipe & Accessories,MLForecast,2024-12-01,1.9884379200064932,0.0,4.1258702928707205,1988437.920006493
HOSE Pipe & Accessories,MLForecast,2025-01-01,0.030194025337906306,0.0,0.3376422887023088,30194.025337906307
HOSE Pipe & Accessories,MLForecast,2025-02-01,0.0,0.0,0.5738922201584313,0.0
HOSE Pipe & Accessories,NeuralProphet,2024-12-01,1.1738381385803223,0.8460304141044617,4.810909271240234,1173838.1385803223
HOSE Pipe & Accessories,NeuralProphet,2025-01-01,1.1365771293640137,0.9304823279380798,1.1933778524398804,1136577.1293640137
HOSE Pipe & Accessories,NeuralProphet,2025-02-01,1.405130386352539,1.1505746841430664,1.6899622678756714,1405130.386352539
HOSE Pipe & Accessories,NBEATSx,2024-12-01,1.7495574951171875,1.7495574951171875,1.823686957359314,1749557.4951171875
HOSE Pipe & Accessories,NBEATSx,2025-01-01,2.849846124649048,2.6740617752075195,2.8915774822235107,2849846.124649048
HOSE Pipe & Accessories,NBEATSx,2025-02-01,0.34599384665489197,0.30610206723213196,0.45432865619659424,345993.84665489197
HOSE Pipe & Accessories,NHITS,2024-12-01,2.583686351776123,2.4792749881744385,2.627866506576538,2583686.351776123
HOSE Pipe & Accessories,NHITS,2025-01-01,1.8522714376449585,1.797674536705017,2.053600549697876,1852271.4376449585
