model,Family,mean_MASE,median_MASE,mean_rank,wins,PICP_80,sec_per_fit,fits,share_folds_beating_naive
ARIMA,Statistical,0.4644670750290991,0.4472117650981914,3.625,2,0.9791666666666666,1.8772963285446167,16,0.6875
ETS,Statistical,0.4736943803574818,0.45931707227488167,3.5625,3,0.9791666666666666,0.34874339401721954,16,0.625
CrostonSBA,Benchmark (intermittent),0.4743055964258989,0.49356466822523803,3.625,1,,0.001403391361236549,16,0.6875
TCN,Deep learning,0.5241857952038573,0.4669663201768996,4.0625,4,0.8958333333333334,21.51280753314495,16,0.625
AutoTS,Automated ML,0.6070856860110447,0.5036093895418015,5.1875,0,0.5238095238095238,89.70299249887466,16,0.5
Naive,Benchmark,0.6878557502178777,0.556130412970441,5.3125,2,,0.00095778703689574,16,0.0
MLForecast,Machine learning,0.8581457273803275,0.8097928616341036,6.75,3,0.7777777777777778,0.22126153111457825,16,0.4375
NeuralProphet,Deep learning,0.9473381780030394,0.8904494205438809,7.625,0,0.20833333333333331,55.0724211782217,16,0.1875
NHITS,Deep learning,0.96176988091997,0.9297584729702975,7.625,1,0.125,34.30352744460106,16,0.25
NBEATSx,Deep learning,0.9640566110325948,0.8483916368765662,7.625,0,0.041666666666666664,33.261325389146805,16,0.3125
